,classes,relations
000296,[0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
000306,[ 0  0  0  0  0  0  0  0  0  0 12  0  0  0  0  0  0  0  0  0  0],[0 1 0 0 5]
000307,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0],[0 1 0 0 0]
000311,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000312,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[1 0 0 0 0]
000317,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000320,[0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 3 0 0 0 0 0],[0 1 0 0 5]
000325,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000331,[0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 3 0 0 0 0 0],[0 1 0 0 5]
000334,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000337,[ 0  0 18  0  0  0  0  0  0  0  0  0  0  0  0 72  0  0  0  0  0],[ 0  8  0  0 37]
000344,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000347,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[1 0 0 0 0]
000349,[ 0  0  0  0  0  0  0  0  0 20  0  5  0  0  0  0  0  0  0  0  5],[0 7 0 0 8]
000355,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000359,[0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 2 0 0 0 0 0],[0 3 0 0 0]
000367,[ 0  0  0  0  0 24  0 12  0  0  0  0  0  0  0  6  0  0  0  0  0],[ 0  6  1  0 14]
000370,[0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
000372,[0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 2 0 0 0 0 0],[0 1 0 0 2]
000379,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000382,[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[0 0 0 1 0]
000387,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000391,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0]
000394,[ 0  0  0  0  0  0  0  0  0  0  0  4  0  0  0 16  0  0  0  0  0],[0 4 0 0 6]
000395,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000400,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000404,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000406,[ 0  0  0  0  0  0  0 10  0  0  0  0  0  0  0 20  0  0  0  0  0],[ 0  3  0  0 12]
000407,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0],[0 1 0 0 0]
000411,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 90  0  0  0  0  0],[ 0  7  0  0 38]
000416,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0],[0 2 0 0 1]
000430,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000431,[0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 1 0]
000438,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0]
000446,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0],[0 1 0 0 0]
000450,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[1 0 0 0 0]
000454,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000463,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 2 0 0 0 0 0],[0 1 0 0 2]
000468,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0],[0 1 0 0 0]
000469,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000470,[0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 3 0 0 0 0 0],[0 2 0 0 4]
000474,[ 0  0  0  0 16  0  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0],[0 2 0 0 8]
000476,[0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 2 0 0],[0 3 0 0 0]
000477,"[  0   0  15   0   0   0  30  15   0   0   0   0   0   0   0 180   0   0
   0   0   0]",[  0  13   0   0 107]
000484,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0],[0 0 1 0 0]
000489,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000496,[0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
000503,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0],[0 0 0 0 1]
000508,[ 0  0  0 20  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],[0 4 0 0 6]
000516,[0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 2 0 0],[0 1 2 0 0]
000518,[0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 4 0 0 0 0 0],[0 2 0 0 1]
000519,[0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 3]
000522,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000524,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0],[0 1 0 0 0]
000525,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 6 0 0 0 0 0],[0 2 0 0 4]
000526,[ 0  0  0  0  0  0  0  0  0  4  0  0  0  0  0 16  0  0  0  0  0],[0 5 0 0 5]
000528,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000535,[ 0  0  8  0  0  0  0  0  0  0  0  0  0  0  0 12  0  0  0  0  0],[0 2 0 0 8]
000537,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000541,[ 0  0  0  0  0  0  0 49  0  0  0  0  0  0  0  7  0  0  0  0  0],[ 0  9  0  0 19]
000544,[0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
000549,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000550,[ 0  0  0  0  0  0  0  0  0 36  0  6  0  0  0  0  0  0  0  0  0],[ 0  7  0  0 14]
000552,[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
000554,[ 0  0  0  0  0  0  0 30  0  0  0  0  0  0  0  6  0  0  6  0  0],[ 0  7  0  0 14]
000555,[ 0  0  0  0  0  0  0  0  0 16  0  0  0  0  0 48  0  0  8  0  0],[ 0 16  0  0 20]
000559,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],[0 0 0 0 1]
000565,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000577,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[1 0 0 0 0]
000583,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0 10 20  0  0  0  0  0],[ 0  4  0  0 11]
000589,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0],[0 1 0 0 2]
000590,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000592,[ 0  0  0  0  0  0  0  0  0 45  0  0  0  0  0  0  9  0 27  0  9],[ 0  9  0  2 34]
000597,[ 0  0  0  0  0  0  0  0  0 45  0  0  0  0  0 27  0  0  0  0 18],[ 0  3  0  0 42]
000605,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000609,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000612,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 2 0],[0 3 0 0 0]
000620,[0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 3]
000622,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000625,"[  0   0   0   0   0   0   0   0   0 208   0   0   0   0   0 100   0   0
   0   0   0]",[ 0 83  0  0 71]
000632,[0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 2],[0 0 0 0 3]
000633,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1],[0 1 0 0 0]
000635,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0],[0 0 0 0 1]
000648,[ 0  6  0  0  0  0  6  6  0  0  0  0  0  0  0 24  0  0  0  0  0],[ 0  3  0  0 18]
000654,[ 0  0  0  0  0  0  0  0  0  0  0  0  8  0  0 40  0 24  0  0  0],[ 0  9  0  0 27]
000657,[ 0 20  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],[0 2 0 0 8]
000671,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000672,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000680,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000685,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0]
000688,[ 0  0  0  0  0  0  0  6  0  0  0  0  0  0  0 36  0  0  0  0  0],[ 0 11  0  0 10]
000689,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[1 0 0 0 0]
000695,[ 0  0  0  0  0  0  0  0  0  0  0  0  0 12  0  8  0  0  0  0  0],[0 4 0 0 6]
000699,[0 0 0 0 0 0 0 0 0 3 0 0 9 0 0 0 0 0 0 0 0],[0 3 3 0 0]
000700,[ 0  0  0  0  0  0  0 42  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 0  2  0  0 19]
000709,[0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 6 0 0 3 0 0],[0 5 0 0 1]
000710,[0 0 0 0 0 0 0 0 3 6 0 0 0 0 0 0 3 0 0 0 0],[0 2 0 0 4]
000711,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0],[0 0 0 0 1]
000726,[0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0],[0 3 0 0 0]
000729,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0]
000731,[0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0],[0 1 0 0 2]
000733,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0],[0 1 0 0 0]
000739,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 42  0  0  0  0  0],[ 0  7  0  0 14]
000740,[0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1]
000753,[ 0  0  0  0  0 24  0  0  0  0  0  8  0  0  0 40  0  0  0  0  0],[ 0 12  0  2 22]
000754,[0 0 3 0 0 0 6 3 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 1 4]
000761,[0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 2],[0 2 0 0 1]
000764,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[1 0 0 0 0]
000767,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000768,[0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
000770,[0 0 3 0 0 0 0 0 0 0 3 0 0 0 3 3 0 0 0 0 0],[0 2 0 0 4]
000774,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[1 0 0 0 0]
000793,[ 0  0  9  0  0  0  9  0  0  0  0  0  0  0  0 72  0  0  0  0  0],[ 0  7  0  0 38]
000796,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000804,[0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 2 0 0],[0 0 0 0 3]
000805,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0],[0 1 0 0 0]
000810,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0]
000812,[0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0],[0 1 0 0 5]
000818,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0],[0 0 0 0 1]
000820,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0],[0 0 0 0 1]
000822,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0],[0 0 0 0 1]
000823,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000827,[0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
000828,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 30  0  0  0  0  0],[0 3 3 0 9]
000829,[ 0  0  8  0  0  0 16 32  0  0  0  0  0  0  0 16  0  0  0  0  0],[ 0  2  0  0 34]
000830,[0 0 0 0 0 0 0 0 0 9 0 3 0 0 0 0 0 0 0 0 0],[0 5 0 1 0]
000845,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000849,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000850,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000851,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0],[0 1 0 0 0]
000859,[0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 6 0 0 3 0 0],[0 4 0 0 2]
000860,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 4 0 0 0 0 0],[0 2 0 0 1]
000865,[ 0  0  0  0  0  8  0  0  0 32  0  8  0  0  0 16  8  0  0  0  0],[ 0 11  1  0 24]
000867,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0]
000871,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000887,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000888,[0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 2]
000889,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0],[0 2 0 0 1]
000892,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0],[0 0 0 0 1]
000898,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0],[0 0 0 1 0]
000899,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[1 0 0 0 0]
000900,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0],[0 1 0 0 2]
000902,[ 0  0  0  0  0  0  0  0  0  0  0  0 20  0  0 10  0  0  0  0  0],[0 7 0 0 8]
000904,[0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 0 0 0 0 0],[0 2 0 0 1]
000906,[ 0  0  0  0 21  0  0 14  0  0  0  0  0  0  0 21  0  0  0  0  0],[ 0 14  1  0 13]
000908,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000912,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000915,[0 0 0 0 0 0 0 0 0 8 0 4 0 0 0 8 0 0 0 0 0],[0 5 0 1 4]
000919,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000929,[ 0  0  0  0  0 10  0  0  0 15  0  5  0  0  0  0  0  0  0  0  0],[0 5 0 2 8]
000936,[ 0 20  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],[0 1 0 0 9]
000943,[ 0  0  0  0  0  0  0  0  0 10  0  0  0  0  0 90  0  0 10  0  0],[ 0 17  1  3 34]
000950,[ 0  0  0  0  0  0  0  0  0 16  0  4  0  0  0  0  0  0  0  0  0],[0 2 2 0 6]
000951,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000954,[0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1]
000958,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000962,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0],[0 1 0 0 0]
000964,[0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
000965,[0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 2 0 0],[0 0 2 0 1]
000966,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0],[0 0 0 1 0]
000967,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 16  0  0  0  4  0],[0 5 0 0 5]
000977,[ 0  0  0  0  0  0  0 30  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 0  3  0  0 12]
000980,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
000987,[ 0  0  0  0  0  0  0  4  0  0  0  0  0  0  4 12  0  0  0  0  0],[0 7 0 0 3]
000989,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],[1 0 0 0 0]
000991,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0],[0 1 0 0 0]
000993,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0],[0 0 0 0 1]
000996,[ 0  0  0  0  0  0  0  0  0 72  0  9  0  0  0  9  0  0  0  0  0],[ 0 10  2  0 33]
000997,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1],[0 0 0 0 1]
000999,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[0 1 0 0 0]
